model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.8769716088328076,0.7671176951977086,0.8023604121734963,0.7791153914749419
Linear SVM,0.9022082018927445,0.8259278005748477,0.7906439355037486,0.8054761303359435
Random Forest,0.8580441640378549,0.5766846361185983,0.6175584540070521,0.5953293107301344
